Rank,CCA3,Country,Capital,Continent,Area,Density,GrowthRate,WorldPopPercent,1970pop,1980pop,1990pop,2000pop,2010pop,2015pop,2020pop,2022pop
216,LIE,Liechtenstein,Vaduz,Europe,160,245.7937,1.0074,0,21089,25003,28765,33026,35926,37355,38756,39327
141,LTU,Lithuania,Vilnius,Europe,65300,42.1142,0.9869,0.03,3210147,3521206,3785847,3599637,3139019,2963765,2820267,2750055
168,LUX,Luxembourg,Luxembourg,Europe,2586,250.425,1.0129,0.01,339342,363741,381267,435628,507070,569408,630399,647599
167,MAC,Macau,Concelho de Macau,Asia,30,23172.2667,1.0125,0.01,247284,245332,350227,431896,557297,615239,676283,695168
50,MDG,Madagascar,Antananarivo,Africa,587041,50.4423,1.0241,0.37,6639751,8948162,11882762,16216431,21731053,24850912,28225177,29611714
62,MWI,Malawi,Lilongwe,Africa,118484,172.22,1.0259,0.26,4625141,6267369,9539665,11229387,14718422,16938942,19377061,20405317
45,MYS,Malaysia,Kuala Lumpur,Asia,330803,102.5934,1.0109,0.43,10306508,13215707,17517054,22945150,28717731,31068833,33199993,33938221
174,MDV,Maldives,Malé,Asia,300,1745.9567,1.0045,0.01,123243,164887,224957,282507,361575,435582,514438,523787
59,MLI,Mali,Bamako,Africa,1240192,18.2178,1.0314,0.28,6153587,7372581,8945026,11239101,15529181,18112907,21224040,22593590
173,MLT,Malta,Valletta,Europe,316,1687.6139,1.0124,0.01,315414,333587,365392,399212,418755,456579,515357,533286
215,MHL,Marshall Islands,Majuro,Oceania,181,229.663,0.9886,0,23969,31988,46047,54224,53416,49410,43413,41569
180,MTQ,Martinique,Fort-de-France,North America,1128,325.8041,0.9965,0,326428,333786,374271,432543,392181,383515,370391,367507
126,MRT,Mauritania,Nouakchott,Africa,1030700,4.5951,1.0263,0.06,1122198,1506694,2006027,2695003,3419461,3946220,4498604,4736139
157,MUS,Mauritius,Port Louis,Africa,2040,636.9946,1.0004,0.02,830115,954865,1090290,1215930,1283330,1293153,1297828,1299469
182,MYT,Mayotte,Mamoudzou,Africa,374,871.9278,1.0319,0,35383,52233,92659,159215,211786,249545,305587,326101
10,MEX,Mexico,Mexico City,North America,1964375,64.9082,1.0063,1.6,50289306,67705186,81720428,97873442,112532401,120149897,125998302,127504125
194,FSM,Micronesia,Palikir,Oceania,702,162.6268,1.0091,0,58989,76299,98603,111709,107588,109462,112106,114164
135,MDA,Moldova,Chisinau,Europe,33846,96.7026,1.0691,0.04,3711140,4103240,4480199,4251573,3678186,3277388,3084847,3272996
217,MCO,Monaco,Monaco,Europe,2,18234.5,0.9941,0,24270,27076,30329,32465,33178,36760,36922,36469
134,MNG,Mongolia,Ulaanbaatar,Asia,1564110,2.1727,1.0151,0.04,1293880,1697780,2161433,2450979,2702520,2964749,3294335,3398366
169,MNE,Montenegro,Podgorica,Europe,13812,45.4012,0.9988,0.01,530268,589324,621442,633324,631044,633966,629048,627082
230,MSR,Montserrat,Brades,North America,102,43.0392,0.9939,0,11402,11452,10805,5138,4938,5059,4500,4390
40,MAR,Morocco,Rabat,Africa,446550,83.883,1.0103,0.47,15274351,19678444,24570814,28554415,32464865,34680458,36688772,37457971
48,MOZ,Mozambique,Maputo,Africa,801590,41.1302,1.0278,0.41,8411676,11413587,13303459,17768505,23073723,26843246,31178239,32969517
26,MMR,Myanmar,Nay Pyi Taw,Asia,676578,80.0784,1.0071,0.68,27284112,33465781,40099553,45538332,49390988,51483949,53423198,54179306
145,NAM,Namibia,Windhoek,Africa,825615,3.1092,1.0146,0.03,754467,975994,1369011,1819141,2099271,2282704,2489098,2567012
225,NRU,Nauru,Yaren,Oceania,21,603.2381,1.0125,0,6663,7635,9598,10377,10241,11185,12315,12668
49,NPL,Nepal,Kathmandu,Asia,147181,207.5511,1.0171,0.38,12501285,15600442,19616530,24559500,27161567,27610325,29348627,30547580
71,NLD,Netherlands,Amsterdam,Europe,41850,419.6897,1.0036,0.22,13037686,14130387,14944548,15899135,16617116,17041107,17434557,17564014
185,NCL,New Caledonia,Nouméa,Oceania,18575,15.6097,1.0075,0,110982,148599,177264,221537,261426,283032,286403,289950
123,NZL,New Zealand,Wellington,Oceania,270467,19.1716,1.0108,0.07,2824061,3147168,3397389,3855266,4346338,4590590,5061133,5185288
106,NIC,Nicaragua,Managua,North America,130373,53.2962,1.0143,0.09,2444767,3303309,4227820,5123222,5855734,6298598,6755895,6948392
54,NER,Niger,Niamey,Africa,1267000,20.6851,1.0378,0.33,4669708,6173177,8370647,11622665,16647543,20128124,24333639,26207977
6,NGA,Nigeria,Abuja,Africa,923768,236.5759,1.0241,2.74,55569264,72951439,95214257,122851984,160952853,183995785,208327405,218541212
232,NIU,Niue,Alofi,Oceania,260,7.4385,0.9985,0,5185,3637,2533,2074,1812,1847,1942,1934
56,PRK,North Korea,Pyongyang,Asia,120538,216.2755,1.0038,0.33,14996879,17973650,20799523,23367059,24686435,25258015,25867467,26069416
150,MKD,North Macedonia,Skopje,Europe,25713,81.4218,0.9954,0.03,1656783,1907023,2044174,2037936,2093828,2107962,2111072,2093599
210,NFK,Northern Mariana Islands,Saipan,Oceania,464,106.7909,1.0014,0,10143,17613,48002,80338,54087,51514,49587,49551
120,NOR,Norway,Oslo,Europe,323802,16.7828,1.0058,0.07,3875546,4085776,4241636,4491202,4889741,5190356,5379839,5434319
127,OMN,Oman,Muscat,Asia,309500,14.7861,1.0123,0.06,670693,1017462,1804524,2344253,2881914,4191776,4543399,4576298
5,PAK,Pakistan,Islamabad,Asia,881912,267.4018,1.0191,2.96,59290872,80624057,115414069,154369924,194454498,210969298,227196741,235824862
222,PLW,Palau,Ngerulmud,Oceania,459,39.3355,1.0017,0,11366,12252,15293,19726,18540,17794,17972,18055
122,PSE,Palestine,Ramallah,Asia,6220,844.063,1.0227,0.07,1118241,1453620,2124609,3139954,3992278,4484614,5019401,5250072
128,PAN,Panama,Panama City,North America,75417,58.4561,1.0132,0.06,1516188,1956987,2449968,3001731,3623617,3957099,4294396,4408581
93,PNG,Papua New Guinea,Port Moresby,Oceania,462840,21.9139,1.0194,0.13,2489059,3104788,3864972,5508297,7583269,8682174,9749640,10142619
109,PRY,Paraguay,Asunción,South America,406752,16.6705,1.0115,0.09,2408787,3078912,4059195,5123819,5768613,6177950,6618695,6780744
44,PER,Peru,Lima,South America,1285216,26.4933,1.0099,0.43,13562371,17492406,22109099,26654439,29229572,30711863,33304756,34049588
13,PHL,Philippines,Manila,Asia,342353,337.5434,1.0147,1.45,37435586,48419546,61558898,77958223,94636700,103031365,112190977,115559009
37,POL,Poland,Warsaw,Europe,312679,127.4698,1.0404,0.5,32482943,35521429,38064255,38504431,38597353,38553146,38428366,39857145
92,PRT,Portugal,Lisbon,Europe,92090,111.5307,0.9981,0.13,8683631,9785252,10007346,10300626,10588401,10365435,10298192,10270865
136,PRI,Puerto Rico,San Juan,North America,8870,366.675,0.9989,0.04,2737619,3214568,3543776,3827108,3717922,3497335,3271564,3252407
143,QAT,Qatar,Doha,Asia,11586,232.6189,1.0026,0.03,118007,277450,441675,645937,1713504,2414573,2760385,2695122
114,COG,Republic of the Congo,Brazzaville,Africa,342000,17.4574,1.0231,0.07,1396989,1829256,2385435,3134030,4437884,5064386,5702174,5970424
161,REU,Reunion,Saint-Denis,Africa,2511,387.914,1.0082,0.01,473925,551674,658992,785424,890130,922495,957822,974052
64,ROU,Romania,Bucharest,Europe,238391,82.4665,1.0171,0.25,19922618,22125224,22836234,21919876,20335211,19906079,19442038,19659267
9,RUS,Russia,Moscow,Europe,17098242,8.4636,0.9973,1.81,130093010,138257420,148005704,146844839,143242599,144668389,145617329,144713314
76,RWA,Rwanda,Kigali,Africa,26338,523.0731,1.0234,0.17,3896367,5247532,7319962,8109989,10309031,11642959,13146362,13776698
228,BLM,Saint Barthelemy,Gustavia,North America,21,522.2381,1.0098,0,2417,2983,5168,7082,8988,9643,10681,10967
211,KNA,Saint Kitts and Nevis,Basseterre,North America,261,182.5939,1.0011,0,44968,43097,40636,45461,47403,47790,47642,47657
190,LCA,Saint Lucia,Castries,North America,616,291.9756,1.0011,0,103090,121633,142301,159500,170935,175623,179237,179857
220,MAF,Saint Martin,Marigot,North America,53,599.8302,0.9951,0,5802,7776,28127,29610,36458,35020,32552,31791
229,SPM,Saint Pierre and Miquelon,Saint-Pierre,North America,242,24.2231,0.9964,0,5537,6106,6324,6274,6052,5978,5906,5862
199,VCT,Saint Vincent and the Grenadines,Kingstown,North America,389,267.2185,0.9963,0,98459,107480,112487,113813,109308,106482,104632,103948
188,WSM,Samoa,Apia,Oceania,2842,78.2484,1.0165,0,142771,164905,168186,184008,194672,203571,214929,222382
218,SMR,San Marino,San Marino,Europe,61,551.8033,0.9975,0,18169,21346,23132,26823,31608,33570,34007,33660
187,STP,Sao Tome and Principe,São Tomé,Africa,964,235.8714,1.0192,0,77583,97210,120343,143714,182138,201124,218641,227380
41,SAU,Saudi Arabia,Riyadh,Asia,2149690,16.9368,1.0128,0.46,6106191,10171710,16004763,21547390,29411929,32749848,35997107,36408820
72,SEN,Senegal,Dakar,Africa,196722,88.025,1.0261,0.22,4367744,5703869,7536001,9704287,12530121,14356181,16436119,17316449
105,SRB,Serbia,Belgrade,Europe,88361,81.7257,0.9897,0.09,7193533,7777010,7987529,7935022,7653748,7519496,7358005,7221365
196,SYC,Seychelles,Victoria,Africa,452,236.9867,1.0061,0,54379,65290,71057,80060,92409,99240,105530,107118
102,SLE,Sierra Leone,Freetown,Africa,71740,119.957,1.022,0.11,2778557,3367477,4325388,4584067,6436698,7314773,8233969,8605718
113,SGP,Singapore,Singapore,Asia,710,8416.4634,1.0058,0.07,2061831,2400729,3022209,4053602,5163590,5650018,5909869,5975689
214,SXM,Sint Maarten,Philipsburg,North America,34,1299.2647,1.003,0,6260,12243,27845,30489,33034,40205,43621,44175
116,SVK,Slovakia,Bratislava,Europe,49037,115.0856,1.0359,0.07,4522867,4973883,5261305,5376690,5396424,5424444,5456681,5643453
148,SVN,Slovenia,Ljubljana,Europe,20273,104.5649,1.0002,0.03,1741286,1901570,1986024,1984339,2057286,2080862,2117641,2119844
166,SLB,Solomon Islands,Honiara,Oceania,28896,25.0648,1.0232,0.01,172833,233668,324171,429978,540394,612660,691191,724273
70,SOM,Somalia,Mogadishu,Africa,637657,27.5971,1.0312,0.22,3720977,5892224,6999096,8721465,12026649,13763906,16537016,17597511
24,ZAF,South Africa,Pretoria,Africa,1221037,49.0517,1.0084,0.75,22368306,29463549,39877570,46813266,51784921,55876504,58801927,59893885
29,KOR,South Korea,Seoul,Asia,100210,517.0722,0.9997,0.65,32601143,38170501,44120039,46788591,48813042,50994401,51844690,51815810
86,SSD,South Sudan,Juba,Africa,619745,17.6091,1.0153,0.14,3342410,4192011,4750817,6114440,9714419,11194299,10606227,10913164
30,ESP,Spain,Madrid,Europe,505992,93.9909,1.0015,0.6,33792617,37491666,38889889,40741651,46572772,46431342,47363807,47558630
61,LKA,Sri Lanka,Colombo,Asia,65610,332.7563,1.0027,0.27,12388769,14943645,17204094,18776371,20668557,21336697,21715079,21832143
32,SDN,Sudan,Khartoum,Africa,1886068,24.8529,1.0267,0.59,11305206,16673586,21090886,26298773,33739933,38171178,44440486,46874204
170,SUR,Suriname,Paramaribo,South America,163820,3.7727,1.0082,0.01,379918,375112,412756,478998,546080,575475,607065,618040
87,SWE,Sweden,Stockholm,Europe,450295,23.4276,1.0079,0.13,8027702,8311763,8548406,8871043,9381729,9849349,10368969,10549347
101,CHE,Switzerland,Bern,Europe,41284,211.7157,1.0056,0.11,6181227,6319113,6711693,7182059,7822435,8281732,8638613,8740472
60,SYR,Syria,Damascus,Asia,185180,119.4797,1.0376,0.28,6319199,8898954,12408996,16307654,22337563,19205178,20772595,22125249
57,TWN,Taiwan,Taipei,Asia,36193,660.1662,1.0014,0.3,14957870,18100281,20586174,22194731,23083083,23512136,23821464,23893394
95,TJK,Tajikistan,Dushanbe,Asia,143100,69.5513,1.0208,0.12,2993019,4045965,5417860,6272998,7621779,8524063,9543207,9952787
22,TZA,Tanzania,Dodoma,Africa,945087,69.3034,1.03,0.82,13618192,19297659,26206012,34463704,45110527,52542823,61704518,65497748
20,THA,Thailand,Bangkok,Asia,513120,139.7276,1.0013,0.9,35791728,45737753,55228410,63066603,68270489,70294397,71475664,71697030
155,TLS,Timor-Leste,Dili,Asia,14874,90.1772,1.0154,0.02,554021,642224,758106,878360,1088486,1205813,1299995,1341296
100,TGO,Togo,Lomé,Africa,56785,155.8281,1.0236,0.11,2197383,2838110,3875947,5008035,6571855,7473229,8442580,8848699
233,TKL,Tokelau,Nukunonu,Oceania,12,155.9167,1.0119,0,1714,1647,1669,1666,1367,1454,1827,1871
197,TON,Tonga,Nuku‘alofa,Oceania,747,143.0495,1.0079,0,86484,96708,98727,102603,107383,106122,105254,106858
153,TTO,Trinidad and Tobago,Port-of-Spain,North America,5130,298.4491,1.0035,0.02,988890,1127852,1266518,1332203,1410296,1460177,1518147,1531044
79,TUN,Tunisia,Tunis,Africa,163610,75.5218,1.0076,0.15,5047404,6578156,8440023,9893316,10895063,11557779,12161723,12356117
18,TUR,Turkey,Ankara,Asia,783562,108.9145,1.0067,1.07,35540990,44089069,54324142,64113547,73195345,79646178,84135428,85341241
111,TKM,Turkmenistan,Ashgabat,Asia,488100,13.1751,1.014,0.08,2201432,2862903,3720278,4569132,5267970,5766431,6250438,6430770
212,TCA,Turks and Caicos Islands,Cockburn Town,North America,948,48.2099,1.0131,0,5665,7598,11709,18744,29726,36538,44276,45703
227,TUV,Tuvalu,Funafuti,Oceania,26,435.0769,1.0096,0,5814,7731,9182,9638,10550,10877,11069,11312
31,UGA,Uganda,Kampala,Africa,241550,195.61,1.0304,0.59,10317212,13284026,17586630,24020697,32341728,37477356,44404611,47249585
38,UKR,Ukraine,Kiev,Europe,603500,65.7858,0.912,0.5,47279086,49973920,51589817,48879755,45683020,44982564,43909666,39701739
97,ARE,United Arab Emirates,Abu Dhabi,Asia,83600,112.9322,1.0081,0.12,298084,1014048,1900151,3275333,8481771,8916899,9287289,9441129
21,GBR,United Kingdom,London,Europe,242900,277.9289,1.0034,0.85,55650166,56326328,57210442,58850043,62760039,65224364,67059474,67508936
3,USA,United States,"Washington, D.C.",North America,9372610,36.0935,1.0038,4.24,200328340,223140018,248083732,282398554,311182845,324607776,335942003,338289857
200,VIR,United States Virgin Islands,Charlotte Amalie,North America,347,286.6427,0.9937,0,63446,96640,100685,108185,106142,102803,100442,99465
133,URY,Uruguay,Montevideo,South America,181034,18.9069,0.999,0.04,2790265,2953750,3117012,3292224,3352651,3402818,3429086,3422794
43,UZB,Uzbekistan,Tashkent,Asia,447400,77.3975,1.016,0.43,12011361,15947129,20579100,24925554,28614227,30949417,33526656,34627652
181,VUT,Vanuatu,Port-Vila,Oceania,12189,26.8061,1.0238,0,87019,118156,150882,192074,245453,276438,311685,326740
234,VAT,Vatican City,Vatican City,Europe,1,510,0.998,0,752,733,700,651,596,564,520,510
51,VEN,Venezuela,Caracas,South America,916445,30.882,1.0036,0.35,11355475,15210443,19750579,24427729,28715022,30529716,28490453,28301696
16,VNM,Vietnam,Hanoi,Asia,331212,296.4472,1.0074,1.23,41928849,52968270,66912613,79001142,87411012,92191398,96648685,98186856
226,WLF,Wallis and Futuna,Mata-Utu,Oceania,142,81.493,0.9953,0,9377,11315,13454,14723,13142,12182,11655,11572
172,ESH,Western Sahara,El Aaiún,Africa,266000,2.1654,1.0184,0.01,76371,116775,178529,270375,413296,491824,556048,575986
46,YEM,Yemen,Sanaa,Asia,527968,63.8232,1.0217,0.42,6843607,9204938,13375121,18628700,24743946,28516545,32284046,33696614
63,ZMB,Zambia,Lusaka,Africa,752612,26.5976,1.028,0.25,4281671,5720438,7686401,9891136,13792086,16248230,18927715,20017675
74,ZWE,Zimbabwe,Harare,Africa,390757,41.7665,1.0204,0.2,5202918,7049926,10113893,11834676,12839771,14154937,15669666,16320537